_id,name,ClausesCategories
0,Amendment,"['Intro Text', 'Capitalized Terms', 'Substance of Amendment', 'Continuing Effect', 'Conflicting Amendments', 'Ending Text']"
1,Base Agreement,"['Intro Text', 'Purpose', 'Fees Obligation', 'Delivery, Performance, or License Obligation', 'Payment Terms', 'Delivery', 'Taxes', 'Late Payments', 'Term', 'Representations', 'Warranties', 'Acknowledgements', 'Confidentiality', 'Non-Competition', 'Non-Solicitation', 'Tolling', 'Compliance With Laws', 'Books And Records', 'Insurance', 'Inspection And Audit', 'Termination', 'Limitations on Liability', 'Indemnification', 'Definitions', 'General Provisions', 'Entire Agreement', 'Further Assurances', 'Amendment', 'Novation', 'Binding Effect', 'Assignment', 'No Partnership', 'Third Party Beneficiaries', 'Power Of Attorney', 'No Brokers, Etc', 'Public Announcements', 'Payment Of Expenses', 'Notices', 'Remedies Cumulative', 'Non-Merger', 'Survival', 'Severability', 'Waiver', 'Equitable Relief', 'Force Majeure', 'Governing Law', 'Dispute Resolution', 'Waiver Of Jury Trial', 'Attorney Fees', 'Consent To Jurisdiction', 'Interpretation', 'Schedules And Exhibits', 'Counterparts', 'Effectiveness Of Agreement', 'Ending Text']"
2,Board Resolution - Approval of Option Grant,"['Intro Text', 'Grant of Stock Options', 'Valuation of Stock Options', 'End Text', 'Exhibit A']"
3,Business Associate Agreement,"['Intro Text', 'Obligations And Activities Of Business Associate', 'Permitted Uses And Disclosures By Business Associate', 'Obligations Of Covered Entity', 'Non-PII Information', 'Indemnification', 'Term', 'Termination', 'Effect Of Termination', 'Survival', 'Definitions', 'General Provisions', 'Entire Agreement', 'Counterparts', 'Amendment', 'No Third-Party Beneficiary', 'Assignment', 'Notice', 'Governing Law', 'Waiver', 'Severability', 'Interpretation', 'Ending Text']"
4,Carrier Services Agreement,"['Intro Text', 'Purchase Order', 'Supply Of Equipment', 'Services', 'License Grant', 'Restrictions On Use', 'Fees', 'Payment', 'Taxes', 'Late Payment', 'Change Orders', 'Project Management', 'Term', 'Warranties', 'Proprietary Rights', 'Confidentiality', 'Compliance With Law', 'Export Control', 'Termination', 'Temporary Suspension', 'Effect Of Termination', 'Indemnity', 'Limitation Of Liability', 'Dispute Resolution', 'Definitions', 'Miscellaneous', 'Entire Agreement', 'Counterparts', 'Amendment', 'Assignment', 'Relationship Of The Parties', 'Notices', 'Governing Law', 'Force Majeure', 'Severability', 'Survival', 'Waiver', 'Third Party Beneficiaries', 'Ending Text']"
5,Catering Services Agreement,"['Intro Text', 'Services', 'Event Details', 'Change Of Event Date Or Venue', 'Guests', 'Guarantee', 'Compensation', 'Payment', 'Taxes', 'Personnel', 'Equipment', 'Food', 'Menu Selection', 'Menu Cost', 'Leftovers', 'Events Serving Alcohol', 'Rentals', 'Decorations', 'Dishes', 'Security', 'Unlawful Activities', 'Representations And Warranties', 'Insurance', 'Third-Party Liability', 'Liability', 'Termination', 'Termination Fees', 'Return of Property', 'Indemnification', 'Definitions', 'General Provisions', 'Binding Effect', 'Assignment', 'Force Majeure', 'Governing Law', 'Arbitration', 'Attorney Fees', 'Amendment', 'Entire Agreement', 'Ending Text']"
6,Commercial Lease,"['Intro Text', 'Grant of Lease', 'Permitted Uses of Premise', 'Prohibited Uses of Premise', 'Rent Obligation', 'Rent Payment', 'Taxes', 'Late Payment', 'Security Deposit', 'Possession And Delivery', 'Acceptance of Premise', 'Term', 'Brokers', 'Maintenance And Repairs of Premise', 'Alterations', 'Utilities And Services', 'Rules And Regulations', 'Recordation', 'Compliance With Laws', 'Signs', 'Parking', 'Liens', 'Quiet Enjoyment', 'Environmental Matters', 'Financial Statements (Covenant)', 'Estoppel Certificates', 'Insurance', 'Entry By Landlord', 'Assignment And Subletting', 'Damage Or Destruction', 'Condemnation', 'Authority', 'Financial Statements (Representation)', 'Right Of First Refusal', 'Option To Purchase', 'Default', 'Remedies', 'Surrender', 'Holding Over', 'Subordination', 'Indemnification', 'Limitations on Liability', 'Definitions', 'General Provisions', 'Notice', 'Binding Effect', 'Governing Law', 'Waiver Of Jury Trial', 'No Waiver', 'Severability', 'Force Majeure', 'Interpretation', 'Attorney Fees', 'Entire Agreement', 'Counterparts', 'Amendments', 'End Text']"
7,Confidentiality Agreement,"['Intro Text', 'Exchange of Information', 'Confidential Information', 'Non-Confidential Information', 'Confidentiality Obligations', 'Use of Information', 'No Disclosure of Discussions', 'Standard of Care', 'Notification of Disclosure', 'Return or Destruction', 'Permitted Disclosure', 'Required Disclosure', 'Term of Confidentiality', 'No Representations or Warranties', 'No Intellectual Property Rights', 'No Obligation to Purchase', 'Termination', 'Remedies', 'General Provisions', 'Entire Agreement', 'Amendment', 'Assignment', 'Notices', 'Governing Law', 'Counterparts', 'Waiver', 'Severability']"
8,Content License Agreement,"['Intro Text', 'Definitions', 'License Grant', 'Content Delivery, Updates, and Selection', 'Permitted Use', 'Prohibited Use', 'Fees', 'Payment Terms', 'Taxes', 'Late Payment', 'Term', 'Authority and Enforceability', 'Non-Infringement', 'Warranty Disclaimer', 'Confidentiality', 'Ownership', 'Public Announcements', 'Termination', 'Effect Of Termination', 'Indemnification', 'Limited Liability', 'Miscellaneous', 'Entire Agreement', 'Further Assurances', 'Amendment', 'Third Party Beneficiary', 'Acknowledgment Of Review', 'No Waiver', 'Notices', 'Assignment', 'Relationship Of The Parties', 'Governing Law', 'Severability', 'Counterparts', 'Interpretation', 'End Text']"
9,Corporate Bylaws,"['Intro Text', 'Definitions', 'Offices', 'Seal', 'Shareholder Meetings', 'Capital Stock', 'Directors', 'Committees', 'Officers', 'Fiscal Year', 'Annual Report', 'Books And Records', 'Contracts, Loans, Checks, And Deposits', 'Dividends', 'Indemnification', 'Miscellaneous', 'Amendments', 'Notices', 'Waiver Of Notice', 'Severability']"
10,Data Sharing Agreement,"['Intro Text', 'Term', 'Data Provider', 'Scope And Purpose', 'Description of Data', 'License Grant', 'Data Recipient', 'Confidentiality', 'Data Protection', 'Data Privacy', 'Review And Publication', 'Representations', 'No Warranty', 'Intellectual Property', 'Use of Name', 'Termination', 'Return of Property', 'Indemnification', 'Definitions', 'General Provisions', 'Entire Agreement', 'Assignment', 'Notice', 'Governing Law', 'Interpretation', 'Severability', 'No Waiver', 'No Third Party Beneficiaries', 'Ending Text']"
11,Distribution Agreement,"['Intro Text', 'Definitions', 'Appointment', 'Exclusivity', 'Orders', 'Delivery and Shippment', 'Provide Products', 'Product Materials', 'New Products', 'Changes To Products', 'Product Field Actions', 'Minimum Purchase Quantity', 'Promotion And Marketing', 'Training', 'End User', 'Product Service', 'Subdistributors', 'Prohibited Activities', 'Distributor Use of Licensed Trademarks', 'Price', 'Payment', 'Taxes', 'Late Payment', 'Term', 'Organization', 'No Conflicts', 'Warranty', 'Compliance With Laws', 'Permits And Approvals', 'Recalls', 'Relationship', 'Confidentiality', 'Non-Competition', 'Non-Solicitation', 'Maintenance Of Books And Records', 'Inspection and Audit of Facilities', 'Insurance', 'Returns Of Defective Products', 'Termination', 'Effect Of Termination', 'Survival', 'Indemnification', 'Limitation Of Liability', 'General', 'Entire Agreement', 'Counterparts', 'Amendment', 'Notices', 'Assignment', 'Dispute Resolution', 'Governing Law', 'Severability', 'Force Majeure', 'Headings', 'Construction', 'Expenses', 'Further Assurances', 'Third-Party Beneficiaries', 'Equitable Relief', 'Waiver Of Jury Trial', 'End Text']"
12,Domain Name Transfer Agreement,"['Intro Text', 'Bargain', 'Delivery and Acceptance', 'Fees', 'Payment Terms', 'Taxes', 'Further Assurances', 'No Seller Limitations', 'Indemnification', 'Confidentiality', 'Limitations Of Liability', 'Representations And Warranties', 'Disclaimer Of Warranties', 'Definitions', 'General', 'Entire Agreement', 'Assignment', 'Third Party Beneficiaries', 'Severability', 'Notices', 'Governing Law', 'Attorney Fees', 'Counterparts', 'Interpretation', 'Ending Text']"
13,Employee Confidentiality Agreement,"['Intro Text', 'Exchange of Information', 'Confidential Information', 'Confidentiality Obligation', 'Use of Information', 'Standard of Care', 'Notification of Disclosure', 'Return or Destruction of Confidential Information', 'Required Disclosure', 'Term of Confidentiality', 'Equitable Relief', 'Entire Agreement', 'Counterparts', 'Amendment', 'Assignment', 'Governing Law', 'Waiver', 'Severability']"
